Exercicio, Tempo, Rating, Resultado
1, 0, 1002, 1
2, 2, 1011, 1
3, 3, 1023, 1
4, 8, 1063, 1
5, 3, 1076, 1
6, 3, 1094, 1
7, 5, 1098, 1
8, 2, 1112, 1
9, 5, 1121, 1
10, 4,  1122, 1
11, 4, 1150, 1
12, 15, 1158, 1
13, 4, 1180, 1
14, 2, 1197, 1
15, 9, 1277, 1
16, 7, 1298, 1
17, 6, 1304, 1
18, 3, 1312, 1
19, 6, 1324, 1
20, 3, 1324, 1
21, 4, 1329, 1
22, 3, 1335, 1
23, 9, 1416, 1
24, 3, 1427, 1
25, 6, 1434, 1
26, 8, 1440, 1
27, 4, 1450, 1
28, 6, 1450, 1
29, 4, 1463, 1
30, 4, 1469, 1
31, 3, 1472, 1
32, 3, 1556, 1
33, 13, 1556, 1
34, 6, 1558, 1
35, 4, 1570, 1
36, 3, 1577, 1
37, 4, 1579, 1
38, 8, 1595, 1
39, 4,1597, 1
40, 5, 1611, 1
41, 4, 1613, 1
42, 16, 1707, 1
43, 4, 1711, 1
44, 4, 1713, 1
45, 19, 1717, 0
46, 9, 1726, 0



