id_game,white_rating,black_rating,result,time_min,bonus
1,2407,2453,1,3,0
2,2458,2457,0,3,0
3,2530,2463,1,3,0
4,2459,2374,1,3,0
5,2451,2542,1,3,0
6,2396,2446,0,3,0
7,2365,2442,0,3,0
8,2449,2353,0,3,0
9,2452,2443,0,3,0
10,2353,2439,0,3,0
11,2434,2409,1,3,0
12,2386,2440,1,3,0
13,2352,2441,-1,3,0
14,2436,2391,1,3,0
15,2437,2404,-1,3,0
16,2440,2593,0,3,0
17,2380,2447,1,3,0
18,2619,2450,1,3,0
19,2444,2459,1,3,0
20,2402,2439,0,3,0
21,2439,2424,-1,3,0
22,2468,2433,0,3,0
23,2427,2397,1,3,0
24,2422,2396,1,3,0
25,2374,2417,0,3,0
26,2423,2414,0,3,0
27,2534,2427,1,3,0
28,2423,2379,0,3,0
29,2438,2439,1,3,0
30,2435,2348,1,3,0
31,2513,2427,0,3,0
32,2433,2456,0,3,0
33,2396,2439,1,3,0
34,2446,2389,0,3,0
35,2394,2441,0,3,0
36,2448,2370,0,3,0
37,2375,2443,0,3,0
38,2443,2419,-1,3,0
39,2447,2542,0,3,0
40,2453,2453,1,3,0
41,2420,2459,1,3,0
42,2466,2386,0,3,0
43,2395,2462,0,3,0
44,2456,2457,1,3,0
45,2450,2453,1,3,0
46,2457,2378,0,3,0
47,2424,2463,1,3,0
48,2407,2458,0,3,0
49,2464,2434,0,3,0
50,2389,2471,1,3,0
51,2393,2479,1,3,0
52,2474,2398,1,3,0
53,2468,2452,1,3,0
54,2455,2463,0,3,0
55,2394,2458,0,3,0
56,2476,2463,0,3,0
57,2453,2464,-1,3,0
58,2469,2473,0,3,0
59,2445,2475,1,3,0
60,2470,2422,1,3,0
61,2475,2515,0,3,0
62,2481,2505,0,3,0
63,2479,2600,-1,3,0
64,2454,2485,1,3,0
65,2419,2480,0,3,0
66,2485,2529,0,3,0
67,2462,2480,0,3,0
68,2486,2470,0,3,0
69,2438,2486,-1,3,0
70,2481,2439,1,3,0
71,2476,2435,1,3,0
72,2502,2482,1,3,0
73,2401,2477,0,3,0
74,2476,2548,-1,3,0
75,2194,2474,0,3,0
76,2471,2308,1,3,0
77,2444,2477,1,3,0
78,2367,2473,0,3,0
79,2468,2427,1,3,0
80,2463,2366,1,3,0
81,2281,2460,0,3,0
82,2466,2487,0,3,0
83,2438,2472,1,3,0
84,2353,2479,1,3,0
85,2485,2485,0,3,0
86,2546,2478,0,3,0
87,2485,2423,0,3,0
88,2354,2493,1,3,0
89,2486,2527,1,3,0
90,2246,2484,0,3,0
91,2481,2248,1,3,0
92,2251,2479,0,3,0
93,2476,2325,1,3,0
94,2468,2603,1,3,0
95,2436,2462,0,3,0
96,2470,2316,0,3,0
97,2365,2466,0,3,0
98,2459,2550,1,3,0
99,2430,2453,0,3,0
100,2461,2361,0,3,0
101,2444,2455,0,3,0
102,2370,2456,-1,3,0
103,2452,2361,1,3,0
104,2450,2200,1,3,0
105,2294,2528,0,10,0
106,2268,2447,0,3,0
107,2414,2453,1,3,0
108,2448,2398,1,3,0
109,2444,2328,1,3,0
110,2535,2536,1,10,0
111,2546,2467,0,10,0
112,2451,2486,0,1,0
113,2392,2452,-1,1,0
114,2151,2450,0,1,0
115,2445,2383,1,1,0
116,2440,2418,1,1,0
117,2411,2446,1,1,0
118,2377,2453,1,1,0
119,2402,2448,1,1,0
120,2456,2321,0,1,0
121,2455,2494,-1,1,0
122,2461,2457,0,1,0
123,2443,2467,1,1,0
124,2473,2437,0,1,0
125,2470,2312,1,1,0
126,2375,2477,1,1,0
127,2484,2456,0,1,0
128,2461,2478,0,1,0
129,2318,2475,0,1,0
130,2425,2481,1,1,0
131,2476,2430,1,1,0
132,2476,2471,0,1,0
133,2520,2476,1,1,0
134,2482,2448,0,1,0
135,2486,2579,0,1,0
136,2349,2482,0,1,0
137,2478,2406,1,1,0
138,2649,2469,0,1,0
139,2325,2466,0,1,0
140,2461,2369,1,1,0
141,2129,2460,0,1,0
142,2455,2399,1,1,0
143,2461,2467,0,1,0
144,2467,2460,-1,1,0
145,2466,2461,0,1,0
146,2515,2465,-1,1,0
147,2460,2446,1,1,0
148,2424,2466,1,1,0
149,2255,2463,0,1,0
150,2459,2408,1,1,0
151,2181,2457,0,1,0
152,2453,2328,1,1,0
153,2394,2459,1,1,0
154,2455,2376,1,1,0
155,2534,2459,1,1,0
156,2464,2529,0,1,0
157,2525,2469,1,1,0
158,2398,2464,0,1,0
159,2461,2301,1,1,0
160,2455,2455,1,1,0
161,2378,2450,0,1,0
162,2285,2452,1,3,0
163,2238,2450,0,3,0
164,2457,2329,0,3,0
165,2464,2419,0,3,0
166,2458,2409,0,3,0
167,2453,2411,1,3,0
168,2281,2450,0,3,0
169,2445,2344,1,3,0
170,2450,2451,1,3,0
171,2447,2333,1,3,0
172,2504,2439,0,3,0
173,2295,2448,1,3,0
174,2446,2151,1,3,0
175,2735,2541,-1,10,0
176,2536,2399,1,10,0
177,2497,2545,1,10,0
178,2379,2540,0,10,0
179,2541,2516,-1,10,0
180,2376,2554,1,10,0
181,2547,2422,1,10,0
182,2545,2207,1,10,0
183,2211,2562,1,10,0
184,2559,2213,1,10,0
185,2214,2556,0,10,0
186,2551,2369,1,10,0
187,2455,2564,1,10,0
188,2415,2557,0,10,0
189,2552,2336,1,10,0
190,2567,2409,0,10,0
191,2560,2431,1,10,0
192,2389,2565,-1,10,0
193,2393,2558,0,10,0
194,2435,2549,0,10,0
195,2542,2384,1,10,0
196,2379,2534,0,10,0
197,2528,2314,1,10,0
198,2520,2353,1,10,0
199,2362,2511,0,10,0
200,2528,2455,0,10,0
201,2511,2533,1,10,0
202,2362,2501,0,10,0
203,2568,2442,0,1,0
204,2434,2576,1,1,0
205,2573,2437,1,1,0
206,2441,2569,0,1,0
207,2565,2445,1,1,0
208,2453,2322,0,1,0
209,2326,2449,0,1,0
210,2457,2318,0,1,0
211,2321,2453,0,1,0
212,2449,2349,1,1,0
213,2447,2455,1,1,0
214,2461,2441,0,1,0
215,2401,2456,0,1,0
216,2290,2464,1,1,0
217,2471,2382,0,1,0
218,2386,2467,0,1,0
219,2461,2451,1,1,0
220,2468,2383,0,1,0
221,2439,2463,0,1,0
222,2446,2469,1,1,0
223,2475,2456,0,1,0
224,2480,2517,0,1,0
225,2512,2485,1,1,0
226,2477,2609,1,1,0
227,2484,2406,0,1,0
228,2398,2491,1,1,0
229,2487,2403,1,1,0
230,2407,2482,0,1,0
231,2477,2412,1,1,0
232,2416,2472,0,1,0
233,2479,2410,0,1,0
234,2402,2486,1,1,0
235,2482,2407,1,1,0
236,2462,2488,1,1,0
237,2484,2385,1,1,0
238,2389,2479,0,1,0
239,2413,2474,0,1,0
240,2469,2418,1,1,0
241,2423,2464,0,1,0
242,2459,2428,1,1,0
243,2427,2460,-1,1,0
244,2466,2421,0,1,0
245,2414,2473,1,1,0
246,2479,2407,0,1,0
247,2412,2475,0,1,0
248,2470,2417,1,1,0
249,2416,2471,-1,1,0
250,2466,2421,1,1,0
251,2445,2361,1,3,0
252,2451,2576,0,3,0
253,2488,2447,0,3,0
254,2418,2454,-1,3,0
255,2453,2419,1,3,0





 




